insert into ad2223.mtirado (nombre, apellidos, edad) values ('Lyon', 'Stapylton', 30);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Harmony', 'Sire', 46);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Alisha', 'Huckin', 60);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Leoline', 'Ianitti', 31);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Bobby', 'Fellis', 43);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Bern', 'Spurritt', 83);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Tuck', 'Abrahamsen', 20);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Cristobal', 'Krysztofowicz', 74);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Frants', 'Gebuhr', 36);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Katinka', 'Huddy', 73);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Nicolea', 'Rabbage', 66);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Mellisent', 'Andrivot', 20);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Emogene', 'Fibbitts', 86);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Brear', 'Cleall', 29);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Bobbee', 'Heatly', 26);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Ursula', 'Minerdo', 35);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Bamby', 'Torpie', 87);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Dewain', 'Jaksic', 93);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Alyson', 'Dykins', 67);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Onfroi', 'Febvre', 77);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Clarisse', 'Shutle', 72);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Valina', 'Fenech', 98);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Jaquelyn', 'Bennoe', 95);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Atalanta', 'Castella', 7);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Reamonn', 'Offord', 78);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Myrwyn', 'La Wille', 12);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Damara', 'Brazener', 90);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Rica', 'Soot', 96);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Sven', 'Giddons', 12);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Elva', 'Harmar', 17);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Annissa', 'Fordyce', 38);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Baird', 'Wesson', 42);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Suzy', 'Bunhill', 92);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Moyna', 'Alloisi', 19);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Michele', 'Scurrey', 22);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Hamlen', 'Friedlos', 44);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Nellie', 'Caris', 38);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Tanny', 'Sheeres', 74);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Hanna', 'Saben', 89);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Noby', 'Semkins', 63);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Adair', 'Goldup', 88);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Shae', 'Battyll', 84);
insert into ad2223.mtirado (nombre, apellidos, edad) values ('Remington', 'Hulstrom', 88);
